1,Sarah,Hawkins,sarah.hawkins4,qRm_4qDikD,joseph30@cook.biz,262.731.7653,GAAP79854889804156,Savings,8385.76,2020-08-27
2,Danny,Diaz,danny.diaz51,^y#4iNqmT7,kellypatterson@simon.org,468-204-9985,QJXY32921499316124,Checking,8834.32,2020-09-30
3,Jacqueline,Martinez,jacqueline.martinez12,$3x%SutGp5,kimberlygross@saunders.com,+1-753-964-9049x9839,VSXO26399103153784,Savings,5906.71,2023-01-26
4,Kimberly,Kramer,kimberly.kramer31,8LCBob7*+E,ashleybruce@hernandez.com,001-297-085-4912x618,UBRJ14281385066785,Checking,8700.6,2024-05-05
5,Mary,Jones,mary.jones66,Y@5dC8Fi(y,hensleyjuan@hotmail.com,224-669-8786x08424,GDCE48607512509098,Checking,9728.71,2020-11-06
6,David,Spence,david.spence23,$XIxX4RgG4,gary10@smith-arnold.biz,334.813.7920x17850,MCVT26102309864905,Savings,7023.72,2024-05-04
7,Connor,Tran,connor.tran93,Yr#3RRcK3),matthewsholly@richard.net,(036)594-7950,GQOL61346384421331,Savings,136.71,2023-11-21
8,Johnny,Jackson,johnny.jackson68,#%VA1_!uWO,glee@gmail.com,815-254-3774,AYJN33789863823586,Savings,3777.22,2024-05-10
9,Barbara,Mcclain,barbara.mcclain87,U3GGl1_b)_,rhamilton@hotmail.com,001-391-881-1515x58416,XTVH73395817454351,Savings,1583.94,2022-03-10
10,Amanda,Brooks,amanda.brooks33,m_+8Bfxv1k,mooremelissa@davis.biz,001-498-473-5414x84905,SPYQ09992903295487,Savings,4795.99,2024-09-15
